Rating,Title,Description,Cleaned_Description
5.0,Terrific,after the test run 10hrs pros : if u are alone and use tws at 50 to 80 volume it lasts more than 9 hrs and still some power left music is good u can feel the bass on beat songs * battery test is run without case charge ( buds alone can run 8+ hrs in 50 to 80 % volume )mic is good tap control is goodcons : some time need to push to hold perfect you need 100%  volume to listen audio clearly while traveling in bike at 65kmph+volume control options is unavailable user can only adjust vo...READ MORE,test run 10hrs pro u alone use tws 50 80 volume last 9 hr still power left music good u feel bass beat song battery test run without case charge bud alone run 8 hr 50 80 volume mic good tap control goodcons time need push hold perfect need 100 volume listen audio clearly traveling bike 65kmphvolume control option unavailable user adjust vo
4.0,Nice product,Perfect earbuds for daily use.Looks premium with very good sound quality for listening to music and calls.Case is very small and easy to carry.Things that could have been better:No battery indicator on the case.For gaming Low latency is not very good as compared to gaming mode in other brands.ANC is not working well if your in crowdy place like train/ airport/ market.READ MORE,perfect earbuds daily use.looks premium good sound quality listening music calls.case small easy carry.things could betterno battery indicator case.for gaming low latency good compared gaming mode brands.anc working well crowdy place like train airport market
4.0,Very Good,"Good for listening music but for calling mic is not good second party can't hear you clearly when you are in call,that's the cons of the item other wise connection is fast, battery backup is good,bass and ear fittings is goodREAD MORE","good listening music calling mic good second party cant hear clearly call,thats con item wise connection fast, battery backup good,bass ear fitting good"
5.0,Brilliant,Very very niceREAD MORE,nice
4.0,Good quality product,Sound quality  8.5 /10Bass quality  8.5 /10Calling quality 7 / 10Gaming quality 9 / 10 Absolutely really such a nice productREAD MORE,sound quality 8.5 10bass quality 8.5 10calling quality 7 10gaming quality 9 10 absolutely really nice product
5.0,Super!,Nice 👍👍READ MORE,nice
5.0,Awesome,*The boult z40 model very nice beautiful**super qulity*** awesome sound eppect****using the smooth*****bluetooth connecting very nice using 3days super working thanks to boult😘 company and deliveryin flipcard and delivery person thank you 🙏🏻🙏🏻🙏🏻READ MORE,boult z40 model nice beautifulsuper qulity awesome sound eppectusing smoothbluetooth connecting nice using 3days super working thanks boult company deliveryin flipcard delivery person thank
5.0,Mind-blowing purchase,Good productREAD MORE,good product
5.0,Wonderful,Z40 is the Best earbudsREAD MORE,z40 best earbuds
5.0,Just wow!,I purchased this earbuds for gaming.Its totally worth it ..at that price no any brand not provide this type of earbuds .. So my experience is good ..I highly recommend it .Sound quality very loud - 4.5/5Bass quality is good -3/5Built quality -4/5Gaming experience so good -5/5You get low latency with gaming mode 4 type tap on back  side of earbuds when its on .READ MORE,purchased earbuds gaming.its totally worth ..at price brand provide type earbuds .. experience good ..i highly recommend .sound quality loud 4.55bass quality good 35built quality 45gaming experience good 55you get low latency gaming mode 4 type tap back side earbuds
5.0,Just wow!,Value for moneyREAD MORE,value money
5.0,Brilliant,GoodREAD MORE,good
4.0,Horrible,Verry Poor quality products.Price range verry high.Products meterial verry poor.READ MORE,verry poor quality products.price range verry high.products meterial verry poor
4.0,Wonderful,I  Love it😇READ MORE,love
4.0,Wonderful,Base quality is nice and good productREAD MORE,base quality nice good product
4.0,Value-for-money,GoodREAD MORE,good
4.0,Pretty good,"Product is good . Sound quality is balanced everyy type of instrument is well defined in songs . But I 1 cons maybe it's only with me becz I am using my first tws with ANC . I think the ANC mode seems useless I like transparency mode better than ANC feature , Also it's gaming mode doesn't feel like 45 ms . It feels like 60 ms .Battery backup is so impressive with charging case as I am using it from two days seemlessly .READ MORE","product good . sound quality balanced everyy type instrument well defined song . 1 con maybe becz using first tws anc . think anc mode seems useless like transparency mode better anc feature , also gaming mode doesnt feel like 45 m . feel like 60 m .battery backup impressive charging case using two day seemlessly"
5.0,Terrific purchase,It was absolutely upto my expectations 😊Value for money under this segment.READ MORE,absolutely upto expectation value money segment
5.0,Fabulous!,very good quality and very nice itemREAD MORE,good quality nice item
5.0,Mind-blowing purchase,Nice product.z40READ MORE,nice product.z40
4.0,Worth the money,Overall its good but fitting is not proper. Spmetime its painfull.READ MORE,overall good fitting proper. spmetime painfull
4.0,Good quality product,"Design, quality, build, Aesthetic all very good... 100% superb.But, in the sense of noise cancellation - it cancels only noise.. but all human voices are transmitting...Cannot hear the person who really needs to speak with it, can hear all human voices surrounded by the mic.. really annoying...READ MORE","design, quality, build, aesthetic good... 100 superb.but, sense noise cancellation cancel noise.. human voice transmitting...cannot hear person really need speak it, hear human voice surrounded mic.. really annoying"
5.0,Fabulous!,Very good product in a budget sound and connecting quality is very impressive and design is like a unique 👍ear relax is goodREAD MORE,good product budget sound connecting quality impressive design like unique ear relax good
5.0,Fabulous!,Goood products 5 star rating 👍READ MORE,goood product 5 star rating
5.0,Awesome,"The best part is this is a budget earbuds , best bass in the segment and battery to be specific , the mics make upto the good mic quality . I was searching for budget earbuds and this perfectly fitted in my expectations. A must buy!!!!!!!!!READ MORE","best part budget earbuds , best bass segment battery specific , mics make upto good mic quality . searching budget earbuds perfectly fitted expectations. must buy!!!!!!!!!"
4.0,Delightful,Good 👍READ MORE,good
5.0,Mind-blowing purchase,Perfect qualityREAD MORE,perfect quality
5.0,Must buy!,Very good product I like it ☺️READ MORE,good product like
5.0,Wonderful,Very very nice product thankyou so much for seller and Flipkart 💕❤️😍😍😍😍😍😍😍READ MORE,nice product thankyou much seller flipkart
5.0,Highly recommended,It's really awesome sound quality is goodBattery backup is is infinite i Never charged that for 10 days and using continuesly over a day and nighteverything is good 👍 try itREAD MORE,really awesome sound quality goodbattery backup infinite never charged 10 day using continuesly day nighteverything good try
5.0,Terrific,Very good product  i like it😍😍READ MORE,good product like
5.0,Brilliant,Nice products and beautifulREAD MORE,nice product beautiful
5.0,Great product,Battery backup really ultimateSound quality 4.5/5Bass 4/5Battery 5/5Design and built quality 4.5/5Connectivity 4/5Must buying productValue for money WorthyREAD MORE,battery backup really ultimatesound quality 4.55bass 45battery 55design built quality 4.55connectivity 45must buying productvalue money worthy
5.0,Brilliant,Very nice product 😊READ MORE,nice product
5.0,Super!,GoodREAD MORE,good
5.0,Just wow!,Good productREAD MORE,good product
4.0,Delightful,Very good productREAD MORE,good product
5.0,Fabulous!,Good quality 😀READ MORE,good quality
5.0,Fabulous!,Very good product 😍 I like this productREAD MORE,good product like product
4.0,Worth the money,Bass is so much ....READ MORE,bass much
5.0,Mind-blowing purchase,"WonderfulNice product 👍 Calling good ⭐⭐⭐⭐saund quality awesome⭐⭐⭐⭐⭐  💫best quality , 💞 charging good ⭐⭐⭐⭐⭐Looking good⭐⭐⭐⭐READ MORE","wonderfulnice product calling good saund quality awesome best quality , charging good looking good"
4.0,Really Nice,I lost one while I was travelling. I could think of no other earbuds other than these. Looks premium. One of the best designed budget buds available. Battery back up is impressive. With full charge it can last upto 4-5 days easily. I use it for good 8 -16 hours everyday. Definitely recommended. Kudos!READ MORE,lost one travelling. could think earbuds these. look premium. one best designed budget bud available. battery back impressive. full charge last upto 45 day easily. use good 8 16 hour everyday. definitely recommended. kudos!
4.0,Value-for-money,Best productREAD MORE,best product
5.0,Terrific purchase,Excellent product according to price its good I will share with u my personal experience with this.  sound quality very good but if u are base lover when the volume is full then u can feel the good base quality good Build quality excellent in my point of view u can buy this I'm happy with this 60 hour battery backup that was mind blowing If u want more you can go for Sony but trust me this is pure satisfying product.READ MORE,excellent product according price good share u personal experience this. sound quality good u base lover volume full u feel good base quality good build quality excellent point view u buy im happy 60 hour battery backup mind blowing u want go sony trust pure satisfying product
5.0,Classy product,Nice product👍READ MORE,nice product
5.0,Slightly disappointed,"I don't like this product because when there is an incoming call it disconnects and journey time music cuts out and the bluetooth connection is late.In positive way it bass is very good, music clarity it works only sitting one place onlyREAD MORE","dont like product incoming call disconnect journey time music cut bluetooth connection late.in positive way bass good, music clarity work sitting one place"
5.0,Simply awesome,Value of money 💰READ MORE,value money
4.0,Value-for-money,Nice and very good productREAD MORE,nice good product
5.0,Mind-blowing purchase,"Good product,Value for moneyREAD MORE","good product,value money"
5.0,Brilliant,Nice to good product 😍✌️ nice work for boalt audio bass sound quality Is good ❤️🙌READ MORE,nice good product nice work boalt audio bass sound quality good
5.0,Highly recommended,When earbuds battery is 100% charge than it works very good.but which earbuds battery become 50/40/30/20% than very fast reduce battery.So Ican says why this battery reduce after using become 40%This my question ❓READ MORE,earbuds battery 100 charge work good.but earbuds battery become 50403020 fast reduce battery.so ican say battery reduce using become 40this question
5.0,Worth every penny,This product has very good 😊 this Bluetooth is very nice 👍👍 bass is loud and goodREAD MORE,product good bluetooth nice bass loud good
